央视,#genre#
湖南卫视,http://27.11.104.166:8002/udp/225.0.4.75:7980
浙江卫视,http://27.11.104.166:8002/udp/225.0.4.81:7980
江苏卫视,http://27.11.104.166:8002/udp/225.0.4.79:7980
安徽卫视,http://27.11.104.166:8002/udp/225.0.4.133:7980
广东卫视,http://27.11.104.166:8002/udp/225.0.4.84:7980
北京卫视,http://27.11.104.166:8002/udp/225.0.4.78:7980
天津卫视,http://27.11.104.166:8002/udp/225.0.4.82:7980
辽宁卫视,http://27.11.104.166:8002/udp/225.0.4.98:7980
东方卫视,http://27.11.104.166:8002/udp/225.0.4.80:7980
河北卫视,http://27.11.104.166:8002/udp/225.0.4.174:7980
贵州卫视,http://27.11.104.166:8002/udp/225.0.4.175:7980
山东卫视,http://27.11.104.166:8002/udp/225.0.4.199:7980
东南卫视,http://27.11.104.166:8002/udp/225.0.4.200:7980
黑龙江卫视,http://27.11.104.166:8002/udp/225.0.4.201:7980
深圳卫视,http://27.11.104.166:8002/udp/225.0.4.202:7980
江西卫视,http://27.11.104.166:8002/udp/225.0.4.203:7980
四川卫视,http://27.11.104.166:8002/udp/225.0.4.204:7980
重庆卫视,http://27.11.104.166:8002/udp/225.0.4.187:7980
湖南卫视,http://27.11.104.166:8001/udp/225.0.4.75:7980
浙江卫视,http://27.11.104.166:8001/udp/225.0.4.81:7980
江苏卫视,http://27.11.104.166:8001/udp/225.0.4.79:7980
安徽卫视,http://27.11.104.166:8001/udp/225.0.4.133:7980
广东卫视,http://27.11.104.166:8001/udp/225.0.4.84:7980
北京卫视,http://27.11.104.166:8001/udp/225.0.4.78:7980
天津卫视,http://27.11.104.166:8001/udp/225.0.4.82:7980
辽宁卫视,http://27.11.104.166:8001/udp/225.0.4.98:7980
东方卫视,http://27.11.104.166:8001/udp/225.0.4.80:7980
河北卫视,http://27.11.104.166:8001/udp/225.0.4.174:7980
贵州卫视,http://27.11.104.166:8001/udp/225.0.4.175:7980
山东卫视,http://27.11.104.166:8001/udp/225.0.4.199:7980
东南卫视,http://27.11.104.166:8001/udp/225.0.4.200:7980
黑龙江卫视,http://27.11.104.166:8001/udp/225.0.4.201:7980
深圳卫视,http://27.11.104.166:8001/udp/225.0.4.202:7980
江西卫视,http://27.11.104.166:8001/udp/225.0.4.203:7980
四川卫视,http://27.11.104.166:8001/udp/225.0.4.204:7980
重庆卫视,http://27.11.104.166:8001/udp/225.0.4.187:7980
广西卫视,http://116.252.28.195:9099/udp/239.81.0.107:4056
广西卫视,http://116.252.28.195:9099/udp/239.81.0.2:4056
北京卫视,http://116.252.28.195:9099/udp/239.81.0.109:4056
北京卫视,http://116.252.28.195:9099/udp/239.81.0.30:4056
天津卫视,http://116.252.28.195:9099/udp/239.81.0.113:4056
天津卫视,http://116.252.28.195:9099/udp/239.81.0.50:4056
东方卫视,http://116.252.28.195:9099/udp/239.81.0.111:4056
东方卫视,http://116.252.28.195:9099/udp/239.81.0.29:4056
重庆卫视,http://116.252.28.195:9099/udp/239.81.0.47:4056
浙江卫视,http://116.252.28.195:9099/udp/239.81.0.108:4056
浙江卫视,http://116.252.28.195:9099/udp/239.81.0.31:4056
安徽卫视,http://116.252.28.195:9099/udp/239.81.0.211:4056
安徽卫视,http://116.252.28.195:9099/udp/239.81.0.37:4056
江苏卫视,http://116.252.28.195:9099/udp/239.81.0.106:4056
江苏卫视,http://116.252.28.195:9099/udp/239.81.0.34:4056
山东卫视,http://116.252.28.195:9099/udp/239.81.0.114:4056
山东卫视,http://116.252.28.195:9099/udp/239.81.0.39:4056
山东教育卫视,http://116.252.28.195:9099/udp/239.81.0.93:4056
辽宁卫视,http://116.252.28.195:9099/udp/239.81.0.210:4056
辽宁卫视,http://116.252.28.195:9099/udp/239.81.0.35:4056
吉林卫视,http://116.252.28.195:9099/udp/239.81.0.58:4056
黑龙江卫视,http://116.252.28.195:9099/udp/239.81.0.105:4056
黑龙江卫视,http://116.252.28.195:9099/udp/239.81.0.33:4056
内蒙古卫视,http://116.252.28.195:9099/udp/239.81.0.54:4056
宁夏卫视,http://116.252.28.195:9099/udp/239.81.0.60:4056
甘肃卫视,http://116.252.28.195:9099/udp/239.81.0.207:4056
青海卫视,http://116.252.28.195:9099/udp/239.81.0.53:4056
新疆卫视,http://116.252.28.195:9099/udp/239.81.0.46:4056
兵团卫视,http://116.252.28.195:9099/udp/239.81.0.213:4056
西藏卫视,http://116.252.28.195:9099/udp/239.81.0.55:4056
