CCTV11,https://stream1.freetv.fun/23fb93bd7de61873b28d5ff6c3c5f79bb656926b571e6cfb0d7e7b7f0d043b9a.m3u8
CCTV11,https://stream1.freetv.fun/cctv114-2.m3u8
CCTV11,https://stream1.freetv.fun/c27a4b351c8ecdac15715723829af689465788edf509646016c3d550eb6a4001.m3u8
CCTV11,https://stream1.freetv.fun/cctv114-1.m3u8
CCTV11,https://stream1.freetv.fun/1fa76eb46f58e8429b7718dcb184553ebcd296fbbb1b6a678f673d37aa4b202c.m3u8
CCTV11,https://stream1.freetv.fun/cctv118-1.m3u8
CCTV11,https://stream1.freetv.fun/7bea5fee4b5121d43273cd42f902d9a116b198257fc14e62b95deef92663d3ba.m3u8
CCTV11,https://stream1.freetv.fun/cctv1155-1.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
cctv12,https://stream1.freetv.fun/6e0a37bad9e9d4a73b51f1e312a0de52567dae6aeb2d0fa58771731d9beaac0c.m3u8
cctv12,https://stream1.freetv.fun/2d02bf2068a070ee67a8102324e5e7e3d4d0603e1f1d274dc95d12ff4f930b2c.m3u8
cctv12,https://stream1.freetv.fun/cctv72054012-1.m3u8
cctv12,https://stream1.freetv.fun/cctv1225-1.m3u8
cctv12,https://stream1.freetv.fun/7e4a53a27285bda74f47db6c5f13faec23529aa3860a3f2407c562953ee65ef9.m3u8
cctv12,https://stream1.freetv.fun/cctv1255-1.m3u8
cctv12,https://stream1.freetv.fun/472cfca1414146ce172cb74a8b19ac7f9ad0f5778b78174791491ca044ed8676.m3u8
cctv12,https://stream1.freetv.fun/cctv128-3.m3u8
cctv12,https://stream1.freetv.fun/ab14e707a2f630098030e86a675ec8cd5b0f66bb2df6e6a7778278bed03b1620.m3u8
cctv12,https://stream1.freetv.fun/cctv128-2.m3u8
cctv12,https://stream1.freetv.fun/de2fe9a47155a5fb2920c489989647a92eef980a7f2f6a19ac1e4c3a034b52e3.m3u8
cctv12,https://stream1.freetv.fun/cctv128-1.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13,https://stream1.freetv.fun/ee058bb26d6b0b3c92fb217028f1c727edb36c8135daced2b9e312701c702f20.m3u8
CCTV13,https://stream1.freetv.fun/cctv134-2.m3u8
CCTV13,https://stream1.freetv.fun/7af6d81010389726dbac68a3e9a7b954679cd889d3916f5f39cf9faa0af0cc27.m3u8
CCTV13,https://stream1.freetv.fun/cctv134-1.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14,https://stream1.freetv.fun/579f99dbb537395cbd4fc15cb64c598a57a9aa7525a08c3fee95375dd049e943.m3u8
CCTV14,https://stream1.freetv.fun/579f99dbb537395cbd4fc15cb64c598a57a9aa7525a08c3fee95375dd049e943.m3u8
CCTV14,https://stream1.freetv.fun/b8fac54b35b5b9c7700a5561750970594ff1398acc518e1ab623f323d0696b86.m3u8
CCTV14,https://stream1.freetv.fun/cctv148-3.m3u8
CCTV14,https://stream1.freetv.fun/6914658ec6ce14da68b4abcb0586a7f5adc119271f0f4c542fed4c444e8adf19.m3u8
CCTV14,https://stream1.freetv.fun/cctv148-2.m3u8
CCTV14,https://stream1.freetv.fun/d98b14e85ae38c7839e47f1bb115490c00cfaf90cdac5cdff9cbc1105f40127a.m3u8
CCTV14,https://stream1.freetv.fun/cctv144-1.m3u8
CCTV14,https://stream1.freetv.fun/1150dddf8f6b3dd09403e72a142bca5ad7fb1891bc50c63f1e1810ab485ecf4d.m3u8
CCTV14,https://stream1.freetv.fun/cctv148-1.m3u8
CCTV14,https://stream1.freetv.fun/c206a34680364c27a5282789bd7b4a94099e5ba0d2f5bf1b115c808078b4c8f5.m3u8
CCTV14,https://stream1.freetv.fun/cctv1455-1.m3u8
CCTV14,https://stream1.freetv.fun/a0c0b49cbcdac78c28013d6c164e0b5a26c8b437f109a2a248003c6ed56a092e.m3u8
CCTV14,https://stream1.freetv.fun/cctv1425-1.m3u8
CCTV14,https://stream1.freetv.fun/94268e21e29cbcca64e0e63341546567707eace63763124919f4df836a94768e.m3u8
CCTV14,https://stream1.freetv.fun/94268e21e29cbcca64e0e63341546567707eace63763124919f4df836a94768e.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV15,https://stream1.freetv.fun/ee42fc9c7703d9551adac771109595ea4d9a703103d2dbc64bced3ca2cad7d87.m3u8
CCTV15,https://stream1.freetv.fun/cctv1555-1.m3u8
CCTV15,https://stream1.freetv.fun/a8a8572a38cb91cc7bc811f552b8b07f0b4d526377cc4da38d20104553aee33b.m3u8
CCTV15,https://stream1.freetv.fun/cctv154-1.m3u8
CCTV15,https://stream1.freetv.fun/cbe761173c58369afdd9726ff2ce51d6bd0803514e69175c19a1c0653e7db72f.m3u8
CCTV15,https://stream1.freetv.fun/cctv155-1.m3u8
CCTV15,https://stream1.freetv.fun/9b1f532f97e18e4d18b15429d87aabe08824d222d89972b756766557caa58ee9.m3u8
CCTV15,https://stream1.freetv.fun/cctv150-1.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16,https://stream1.freetv.fun/73a2d9f508bc93d788696eda9fdadc8682e2ce897e57cbed5ee766f219fdab3e.m3u8
CCTV16,https://stream1.freetv.fun/cctv164-2.m3u8
CCTV16,https://stream1.freetv.fun/1bddcc976992d33c436b0d2f6bde7d657bb5706d2102d8d74a3f591f219ed44a.m3u8
CCTV16,https://stream1.freetv.fun/cctv168-1.m3u8
